NAME,VARLABEL,ITEM SPECIFIC INFORMATION,TYPE,FORMAT,VARNUM,MINMAX,VAL,LABEL,COUNT,PERCENT
orig_chn,Channel,The origination channel used by the party that delivered the loan to the issuer.,CHAR,X(1),1,,,,,
,,,,,,,B,Broker,92396,9%
,,,,,,,C,Correspondent,336844,32%
,,,,,,,R,Retail,619335,59%
loan_age,Loan Age,"The number of calendar months since the mortgage loan's origination date. For purposes of calculating this data element, origination means the date on which the first full month of interest begins to accrue.",NUM,9(3),2,47-79,,,,
,,,,,,,47,47 months,1453,0%
,,,,,,,48,48 months,6966,1%
,,,,,,,49,49 months,8473,1%
,,,,,,,50,50 months,21450,2%
,,,,,,,51,51 months,54107,5%
,,,,,,,52,52 months,53763,5%
,,,,,,,53,53 months,57515,5%
,,,,,,,54,54 months,46978,4%
,,,,,,,55,55 months,57482,5%
,,,,,,,56,56 months,68185,7%
,,,,,,,57,57 months,27530,3%
,,,,,,,58,58 months,6518,1%
,,,,,,,59,59 months,1642,0%
,,,,,,,60,60 months,424,0%
,,,,,,,61,61 months,208,0%
,,,,,,,62,62 months,123,0%
,,,,,,,63,63 months,80,0%
,,,,,,,64,64 months,48,0%
,,,,,,,65,65 months,29,0%
,,,,,,,66,66 months,27,0%
,,,,,,,67,67 months,24,0%
,,,,,,,68,68 months,27,0%
,,,,,,,69,69 months,13,0%
,,,,,,,70,70 months,22,0%
,,,,,,,71,71 months,12,0%
,,,,,,,72,72 months,14,0%
,,,,,,,73,73 months,6,0%
,,,,,,,74,74 months,9,0%
,,,,,,,75,75 months,4,0%
,,,,,,,76,76 months,1,0%
,,,,,,,77,77 months,6,0%
,,,,,,,78,78 months,3,0%
,,,,,,,79,79 months,2,0%
,,,,,,,NA,Missing,635431,61%
orig_rt,Original Interest Rate,The original interest rate on a mortgage loan as identified in the original mortgage note.,NUM,9(2).999,3,1.79 - 6.125,,,,
,,,,,,,1.79,1.79%,2,0%
,,,,,,,1.99,1.99%,1,0%
,,,,,,,2.04,2.04%,3,0%
,,,,,,,2.125,2.125%,5,0%
,,,,,,,2.14,2.14%,7,0%
,,,,,,,2.25,2.25%,88,0%
,,,,,,,2.29,2.29%,1,0%
,,,,,,,2.34,2.34%,2,0%
,,,,,,,2.375,2.375%,85,0%
,,,,,,,2.42,2.42%,1,0%
,,,,,,,2.44,2.44%,1,0%
,,,,,,,2.45,2.45%,1,0%
,,,,,,,2.49,2.49%,7,0%
,,,,,,,2.5,2.5%,689,0%
,,,,,,,2.54,2.54%,96,0%
,,,,,,,2.55,2.55%,2,0%
,,,,,,,2.588,2.588%,1,0%
,,,,,,,2.6,2.6%,8,0%
,,,,,,,2.625,2.625%,1133,0%
,,,,,,,2.64,2.64%,1,0%
,,,,,,,2.65,2.65%,9,0%
,,,,,,,2.654,2.654%,1,0%
,,,,,,,2.661,2.661%,1,0%
,,,,,,,2.665,2.665%,1,0%
,,,,,,,2.681,2.681%,1,0%
,,,,,,,2.684,2.684%,1,0%
,,,,,,,2.699,2.699%,1,0%
,,,,,,,2.7,2.7%,19,0%
,,,,,,,2.704,2.704%,1,0%
,,,,,,,2.705,2.705%,1,0%
,,,,,,,2.71,2.71%,2,0%
,,,,,,,2.711,2.711%,1,0%
,,,,,,,2.713,2.713%,1,0%
,,,,,,,2.719,2.719%,4,0%
,,,,,,,2.725,2.725%,1,0%
,,,,,,,2.729,2.729%,1,0%
,,,,,,,2.73,2.73%,1,0%
,,,,,,,2.733,2.733%,1,0%
,,,,,,,2.734,2.734%,1,0%
,,,,,,,2.74,2.74%,6,0%
,,,,,,,2.749,2.749%,2,0%
,,,,,,,2.75,2.75%,6954,1%
,,,,,,,2.751,2.751%,1,0%
,,,,,,,2.754,2.754%,1,0%
,,,,,,,2.766,2.766%,1,0%
,,,,,,,2.77,2.77%,1,0%
,,,,,,,2.775,2.775%,15,0%
,,,,,,,2.78,2.78%,3,0%
,,,,,,,2.781,2.781%,5,0%
,,,,,,,2.79,2.79%,2,0%
,,,,,,,2.8,2.8%,64,0%
,,,,,,,2.802,2.802%,1,0%
,,,,,,,2.807,2.807%,1,0%
,,,,,,,2.827,2.827%,1,0%
,,,,,,,2.829,2.829%,1,0%
,,,,,,,2.83,2.83%,5,0%
,,,,,,,2.833,2.833%,1,0%
,,,,,,,2.837,2.837%,1,0%
,,,,,,,2.838,2.838%,1,0%
,,,,,,,2.839,2.839%,1,0%
,,,,,,,2.84,2.84%,6,0%
,,,,,,,2.844,2.844%,3,0%
,,,,,,,2.847,2.847%,1,0%
,,,,,,,2.85,2.85%,7,0%
,,,,,,,2.853,2.853%,1,0%
,,,,,,,2.855,2.855%,1,0%
,,,,,,,2.861,2.861%,1,0%
,,,,,,,2.863,2.863%,1,0%
,,,,,,,2.865,2.865%,16,0%
,,,,,,,2.867,2.867%,1,0%
,,,,,,,2.87,2.87%,1,0%
,,,,,,,2.871,2.871%,2,0%
,,,,,,,2.872,2.872%,1,0%
,,,,,,,2.874,2.874%,1,0%
,,,,,,,2.875,2.875%,8889,1%
,,,,,,,2.878,2.878%,1,0%
,,,,,,,2.88,2.88%,1,0%
,,,,,,,2.887,2.887%,2,0%
,,,,,,,2.89,2.89%,110,0%
,,,,,,,2.893,2.893%,1,0%
,,,,,,,2.9,2.9%,50,0%
,,,,,,,2.901,2.901%,1,0%
,,,,,,,2.906,2.906%,6,0%
,,,,,,,2.91,2.91%,2,0%
,,,,,,,2.913,2.913%,1,0%
,,,,,,,2.917,2.917%,2,0%
,,,,,,,2.918,2.918%,1,0%
,,,,,,,2.92,2.92%,1,0%
,,,,,,,2.924,2.924%,1,0%
,,,,,,,2.925,2.925%,3,0%
,,,,,,,2.93,2.93%,6,0%
,,,,,,,2.931,2.931%,1,0%
,,,,,,,2.934,2.934%,1,0%
,,,,,,,2.939,2.939%,2,0%
,,,,,,,2.94,2.94%,3,0%
,,,,,,,2.943,2.943%,1,0%
,,,,,,,2.944,2.944%,1,0%
,,,,,,,2.945,2.945%,1,0%
,,,,,,,2.946,2.946%,1,0%
,,,,,,,2.947,2.947%,1,0%
,,,,,,,2.95,2.95%,84,0%
,,,,,,,2.954,2.954%,1,0%
,,,,,,,2.958,2.958%,4,0%
,,,,,,,2.96,2.96%,1,0%
,,,,,,,2.961,2.961%,1,0%
,,,,,,,2.963,2.963%,1,0%
,,,,,,,2.967,2.967%,1,0%
,,,,,,,2.969,2.969%,9,0%
,,,,,,,2.97,2.97%,1,0%
,,,,,,,2.972,2.972%,1,0%
,,,,,,,2.975,2.975%,5,0%
,,,,,,,2.98,2.98%,8,0%
,,,,,,,2.981,2.981%,1,0%
,,,,,,,2.982,2.982%,1,0%
,,,,,,,2.983,2.983%,1,0%
,,,,,,,2.985,2.985%,2,0%
,,,,,,,2.988,2.988%,1,0%
,,,,,,,2.99,2.99%,1735,0%
,,,,,,,2.997,2.997%,2,0%
,,,,,,,2.998,2.998%,1,0%
,,,,,,,2.999,2.999%,20,0%
,,,,,,,3,3%,8562,1%
,,,,,,,3.011,3.011%,1,0%
,,,,,,,3.012,3.012%,1,0%
,,,,,,,3.014,3.014%,2,0%
,,,,,,,3.017,3.017%,1,0%
,,,,,,,3.02,3.02%,1,0%
,,,,,,,3.025,3.025%,1,0%
,,,,,,,3.03,3.03%,6,0%
,,,,,,,3.031,3.031%,4,0%
,,,,,,,3.036,3.036%,1,0%
,,,,,,,3.037,3.037%,1,0%
,,,,,,,3.038,3.038%,1,0%
,,,,,,,3.039,3.039%,1,0%
,,,,,,,3.04,3.04%,3,0%
,,,,,,,3.044,3.044%,1,0%
,,,,,,,3.045,3.045%,1,0%
,,,,,,,3.05,3.05%,8,0%
,,,,,,,3.052,3.052%,1,0%
,,,,,,,3.055,3.055%,1,0%
,,,,,,,3.056,3.056%,2,0%
,,,,,,,3.059,3.059%,1,0%
,,,,,,,3.06,3.06%,3,0%
,,,,,,,3.067,3.067%,1,0%
,,,,,,,3.075,3.075%,4,0%
,,,,,,,3.08,3.08%,2,0%
,,,,,,,3.081,3.081%,1,0%
,,,,,,,3.086,3.086%,1,0%
,,,,,,,3.09,3.09%,22,0%
,,,,,,,3.091,3.091%,1,0%
,,,,,,,3.092,3.092%,2,0%
,,,,,,,3.093,3.093%,1,0%
,,,,,,,3.094,3.094%,5,0%
,,,,,,,3.095,3.095%,1,0%
